Lat,Lon,Title,Partner,Partner ohne Markdown,Website,Straße,PLZ,Ort,Land,Partner aus…,Beteiligt in…,Funktion als…,Webadresse,Column 1
50.9220931,6.3611015,,[Forschungszentrum Jülich GmbH - Helmholtz-Institut Erlangen-Nürnberg für Erneuerbare Energien (IEK 11)](https://www.fz-juelich.de/),Forschungszentrum Jülich GmbH - Helmholtz-Institut Erlangen-Nürnberg für Erneuerbare Energien (IEK 11),https://www.fz-juelich.de/,Wilhelm-Johnen-Str.,52428,Jülich,Nordrhein-Westfalen,Wissenschaft,"PEP.IN, SEGIWA, DERIEL, ReNaRe",Partner,www.fz-juelich.de,
49.5978157,11.0038064,,[Forschungszentrum Jülich GmbH](https://www.fz-juelich.de/),Forschungszentrum Jülich GmbH,https://www.fz-juelich.de/,Egerlandstr. 3,91058,Erlangen,Bayern,Wissenschaft,"HyThroughGen, StacIE",Koordinator und Partner,www.fz-juelich.de,
50.8959142,14.8064417,,[Fraunhofer-Einrichtung für Energieinfrastrukturen und Geothermie IEG](www.ieg.fraunhofer.de),Fraunhofer-Einrichtung für Energieinfrastrukturen und Geothermie IEG,https://www.ieg.fraunhofer.de/,Schwenninger Weg 1,02763,Zittau,Sachsen,Wissenschaft,IntegrH2ate,Partner,www.ieg.fraunhofer.de,
51.3154546,9.4924096,,[Fraunhofer-Institut für Energiewirtschaft und Energiesystemtechnik (IEE)](https://www.iee.fraunhofer.de/),Fraunhofer-Institut für Energiewirtschaft und Energiesystemtechnik (IEE),https://www.iee.fraunhofer.de/,Königstor 59,34119,Kassel,Hessen,Wissenschaft,HyLeiT,Koordinator,www.fraunhofer.de,
52.1315889,11.6399609,,[Fraunhofer-Institut für Fabrikbetrieb und -automatisierung (IFF)](https://www.iff.fraunhofer.de/),Fraunhofer-Institut für Fabrikbetrieb und -automatisierung (IFF),https://www.iff.fraunhofer.de/,Sandtorstr. 22,39106,Magdeburg,Sachsen-Anhalt,Wissenschaft,AEL4GW,Partner,www.fraunhofer.de,
51.1462598,13.7986098,,[Fraunhofer-Institut für Fertigungstechnik und Angewandte Materialforschung (IFAM) und Fraunhofer-Institut für Keramische Technologien und Systeme (IKTS)](https://www.ikts.fraunhofer.de/),Fraunhofer-Institut für Fertigungstechnik und Angewandte Materialforschung (IFAM) und Fraunhofer-Institut für Keramische Technologien und Systeme (IKTS),https://www.ikts.fraunhofer.de/,Winterbergstr. 28,01217,Dresden,Sachsen,Wissenschaft,"AEL4GW, HTEL-Stacks",Partner,www.fraunhofer.de,
51.4825041,11.9705452,,[Fraunhofer-Institut für Mikrostruktur von Werkstoffen und Systemen (IMWS)](https://www.imws.fraunhofer.de/),Fraunhofer-Institut für Mikrostruktur von Werkstoffen und Systemen (IMWS),https://www.imws.fraunhofer.de/,Walter-Hülse-Str. 1,06120,Halle (Saale),Sachsen-Anhalt,Wissenschaft,"FRHY, StacIE",Partner,www.fraunhofer.de,
48.8611498,9.1873875,,[Fraunhofer-Institut für Produktionstechnik und Automatisierung (IPA)](https://www.ipa.fraunhofer.de/),Fraunhofer-Institut für Produktionstechnik und Automatisierung (IPA),https://www.ipa.fraunhofer.de/,Nobelstr. 12,70569,Stuttgart,Baden-Württemberg,Wissenschaft,"Degrad-EL3, ReNaRe, FRHY, PEP.IN, IREKA",Partner,www.fraunhofer.de,
50.8771537,6.1620774,,[Fraunhofer-Institut für Produktionstechnologie (IPT)](https://www.ipt.fraunhofer.de/),Fraunhofer-Institut für Produktionstechnologie (IPT),https://www.ipt.fraunhofer.de/,Steinbachstr. 17,52074,Aachen,Nordrhein-Westfalen,Wissenschaft,FRHY,Partner,www.fraunhofer.de,
48.1206565,7.850993,,[Fraunhofer-Institut für Solare Energiesysteme (ISE)](https://www.ise.fraunhofer.de//),Fraunhofer-Institut für Solare Energiesysteme (ISE),https://www.ise.fraunhofer.de/,Heidenhofstr. 2,79110,Freiburg im Breisgau,Baden-Württemberg,Wissenschaft,"HyThroughGen, PEP.IN, StacIE",Partner,www.fraunhofer.de,
51.5975224,6.6811994,,"[Fraunhofer-Institut für Umwelt-, Sicherheits- und Energietechnik (UMSICHT)](https://www.umsicht.fraunhofer.de/)","Fraunhofer-Institut für Umwelt-, Sicherheits- und Energietechnik (UMSICHT)",https://www.umsicht.fraunhofer.de/,Osterfelder Str. 3,46047,Oberhausen,Nordrhein-Westfalen,Wissenschaft,PEP.IN,Partner,www.fraunhofer.de,
50.7602495,13.0283232,,[Fraunhofer-Institut für Werkzeugmaschinen und Umformtechnik (IWU) und Fraunhofer-Institut für Elektronische Nanosysteme (ENAS)](https://www.enas.fraunhofer.de/),Fraunhofer-Institut für Werkzeugmaschinen und Umformtechnik (IWU) und Fraunhofer-Institut für Elektronische Nanosysteme (ENAS),https://www.enas.fraunhofer.de/,Technologie-Campus 3,09112,Chemnitz,Sachsen,Wissenschaft,FRHY,Koordinator und Partner,www.fraunhofer.de,
50.0428901,11.6678287,,Frenzelit Werke GmbH,Frenzelit Werke GmbH,"https://www.frenzelit.com
",Frankenhammer,95460,Bad Berneck i. Fichtelgebirge,Bayern,Wirtschaft,AEL4GW,Partner,www.frenzelit.com,
49.5960879,11.1210915,,[Friedrich-Alexander-Universität Erlangen-Nürnberg](https://www.fau.de/),Friedrich-Alexander-Universität Erlangen-Nürnberg,https://www.fau.de/,Egerlandstr. 1,91058,Erlangen,Bayern,Wissenschaft,"DERIEL, PrometH2eus",Partner,www.fau.de,
48.9502631,9.1383314,,[FUMATECH BWT GmbH](https://www.fumatech.com/),FUMATECH BWT GmbH,https://www.fumatech.com/,Carl-Benz-Str. 4,74321,Bietigheim-Bissingen,Baden-Württemberg,Wirtschaft,"StacIE, Fluorfreie MEA, SEGIWA",Partner,www.fumatech.com,
